UNICODE	REP	ASCII	DESC	ORG
1EFF	á»¿	y	LATIN SMALL LETTER Y WITH LOOP 	5739
0233	È³	y	LATIN SMALL LETTER Y WITH MACRON 	475
1E99	áº™	y	LATIN SMALL LETTER Y WITH RING ABOVE 	5637
AB5A	ê­š	y	LATIN SMALL LETTER Y WITH SHORT RIGHT LEG 	10666
024F	É�	y	LATIN SMALL LETTER Y WITH STROKE 	503
1EF9	á»¹	y	LATIN SMALL LETTER Y WITH TILDE 	5733
2144	â…„	Y	TURNED SANS-SERIF CAPITAL Y 	6184
13C3	á�ƒ	Z	CHEROKEE LETTER NO 	3472
1DE6	á·¦	z	COMBINING LATIN SMALL LETTER Z 	5466
2124	â„¤	Z	DOUBLE-STRUCK CAPITAL Z 	6158
FF3A	ï¼º	Z	FULLWIDTH LATIN CAPITAL LETTER Z 	22141
FF5A	ï½š	z	FULLWIDTH LATIN SMALL LETTER Z 	22171
005A	Z	Z	LATIN CAPITAL LETTER Z 	51
0179	Å¹	Z	LATIN CAPITAL LETTER Z WITH ACUTE 	289
017D	Å½	Z	LATIN CAPITAL LETTER Z WITH CARON 	293
1E90	áº�	Z	LATIN CAPITAL LETTER Z WITH CIRCUMFLEX 	5628
2C6B	â±«	Z	LATIN CAPITAL LETTER Z WITH DESCENDER 	6806
017B	Å»	Z	LATIN CAPITAL LETTER Z WITH DOT ABOVE 	291
1E92	áº’	Z	LATIN CAPITAL LETTER Z WITH DOT BELOW 	5630
0224	È¤	Z	LATIN CAPITAL LETTER Z WITH HOOK 	460
1E94	áº”	Z	LATIN CAPITAL LETTER Z WITH LINE BELOW 	5632
01B5	Æµ	Z	LATIN CAPITAL LETTER Z WITH STROKE 	349
2C7F	â±¿	Z	LATIN CAPITAL LETTER Z WITH SWASH TAIL 	6826
007A	z	z	LATIN SMALL LETTER Z 	81
017A	Åº	z	LATIN SMALL LETTER Z WITH ACUTE 	290
017E	Å¾	z	LATIN SMALL LETTER Z WITH CARON 	294
1E91	áº‘	z	LATIN SMALL LETTER Z WITH CIRCUMFLEX 	5629
0291	Ê‘	z	LATIN SMALL LETTER Z WITH CURL 	569
2C6C	â±¬	z	LATIN SMALL LETTER Z WITH DESCENDER 	6807
017C	Å¼	z	LATIN SMALL LETTER Z WITH DOT ABOVE 	292
1E93	áº“	z	LATIN SMALL LETTER Z WITH DOT BELOW 	5631
0225	È¥	z	LATIN SMALL LETTER Z WITH HOOK 	461
1E95	áº•	z	LATIN SMALL LETTER Z WITH LINE BELOW 	5633
1D76	áµ¶	z	LATIN SMALL LETTER Z WITH MIDDLE TILDE 	5354
1D8E	á¶Ž	z	LATIN SMALL LETTER Z WITH PALATAL HOOK 	5378
0290	Ê�	z	LATIN SMALL LETTER Z WITH RETROFLEX HOOK 	568
01B6	Æ¶	z	LATIN SMALL LETTER Z WITH STROKE 	350
0240	É€	z	LATIN SMALL LETTER Z WITH SWASH TAIL 	488
